icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
AFIL,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,nm_inferred,1.0,0.0,,,,
BGBW,3.0,3.0,100.0,0.0,0.0,0.0,7715.0,7806.5,7959.0,8939.0,9527.0,,,,,,7959.0,9527.0,100.0,,66.66666666666667,33.333333333333336,0.0,3.0,3.0,100.0,0.0,0.0,,-10905.0,-10653.0,-10233.0,-9815.0,-9564.2,,,,,,10233.0,10905.0,100.0,,66.66666666666667,33.333333333333336,0.0,0.0,nm_inferred,3.0,100.0,,,,
BGCO,2.0,1.0,50.0,0.0,0.0,0.0,5534.0,5534.0,5534.0,5534.0,5534.0,,,,,,5534.0,5534.0,100.0,,50.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,,-4334.0,-4334.0,-4334.0,-4334.0,-4334.0,,,,,,4334.0,4334.0,100.0,,50.0,0.0,0.0,0.0,nm_inferred,2.0,50.0,,,,
BGGH,7.0,7.0,100.0,0.0,0.0,0.0,8440.0,10041.5,10119.0,10619.0,11202.0,,,,,,10119.0,11202.0,100.0,,14.285714285714286,85.71428571428571,0.0,7.0,7.0,100.0,0.0,0.0,,-11517.4,-11036.5,-10668.0,-8756.5,-6774.8,,,,,,10668.0,11517.4,100.0,,28.571428571428573,71.42857142857143,0.0,0.0,nm_inferred,7.0,100.0,,,,
BGJN,3.0,3.0,100.0,0.0,0.0,300.0,9032.0,9126.5,9284.0,9386.5,9448.0,,,,,,9284.0,9448.0,100.0,,100.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,,-11123.2,-11078.5,-11004.0,-10678.0,-10482.4,,,,,,11004.0,11123.2,100.0,,100.0,0.0,0.0,0.0,nm_inferred,3.0,100.0,,,,
BGKK,3.0,3.0,100.0,0.0,0.0,300.0,3891.0,4276.5,4919.0,6926.5,8131.0,,,,,,4919.0,8131.0,100.0,,100.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,,-5560.0,-5420.5,-5188.0,-4955.5,-4816.0,,,,,,5188.0,5560.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,3.0,100.0,,,,
BGSF,1.0,1.0,100.0,0.0,0.0,60.0,10314.0,10314.0,10314.0,10314.0,10314.0,,,,,,10314.0,10314.0,100.0,,0.0,100.0,0.0,2.0,2.0,100.0,0.0,0.0,,-9824.9,-9148.25,-8020.5,-6892.75,-6216.1,,,,,,8020.5,9824.9,100.0,,50.0,50.0,0.0,0.0,nm_inferred,2.0,100.0,,,,
BIAR,21.0,18.0,85.71428571428571,0.0,0.0,300.0,499.0,507.75,596.5,737.75,2055.5000000000027,,,,,,596.5,2055.5000000000027,100.0,,85.71428571428571,0.0,0.0,21.0,18.0,85.71428571428571,0.0,0.0,,-1973.3999999999994,-722.25,-627.5,-566.5,-549.9,,,,,,627.5,1973.4000000000028,100.0,,85.71428571428571,0.0,0.0,0.0,nm_inferred,21.0,85.71428571428571,,Akureyri International Airport,65.656573,-18.072018
BIBD,3.0,3.0,100.0,0.0,0.0,600.0,589.0,956.5,1569.0,1579.0,1585.0,,,,,,1569.0,1585.0,100.0,,100.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,,-1032.4,-1031.5,-1030.0,-992.0,-969.2,,,,,,1030.0,1032.4,100.0,,100.0,0.0,0.0,0.0,nm_inferred,3.0,100.0,,Bildudalur Airport,65.641296,-23.5462
BIEG,8.0,8.0,100.0,0.0,0.0,300.0,1407.5,1424.0,1524.0,1609.0,1757.5,,,,,,1524.0,1757.5,100.0,,100.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,,-1236.6,-1161.0,-1027.0,-1002.0,-989.7,,,,,,1027.0,1236.6,100.0,,100.0,0.0,0.0,0.0,nm_inferred,8.0,100.0,,Egilsstaðir Airport,65.2833023071289,-14.401399612426758
