icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
BIAR,17.0,14.0,82.3529411764706,0.0,0.0,300.0,300.0,696.0,781.25,820.0,946.25,1197.5,-3.9916666666666667,-3.154166666666667,-2.7333333333333334,-2.604166666666667,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,1197.5,100.0,0.0,76.47058823529412,5.882352941176471,0.0,19.0,15.0,78.94736842105263,0.0,0.0,,,-1030.4,-979.0,-941.0,-886.0,-875.8,,,,,,,,,,,,,,,,941.0,1030.4,100.0,,78.94736842105263,0.0,0.0,0.0,nm_inferred,19.0,80.6501547987616,,Akureyri International Airport,65.656573,-18.072018
BIBD,2.0,2.0,100.0,0.0,0.0,600.0,600.0,452.0,455.0,460.0,465.0,468.0,-0.78,-0.775,-0.7666666666666666,-0.7583333333333333,-0.7533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,468.0,100.0,0.0,100.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,,,-427.0,-418.0,-403.0,-388.0,-379.0,,,,,,,,,,,,,,,,403.0,427.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,2.0,100.0,,Bildudalur Airport,65.641296,-23.5462
BIEG,8.0,8.0,100.0,0.0,0.0,300.0,300.0,1319.3,1418.75,1505.5,1610.0,1643.0,-5.476666666666667,-5.366666666666666,-5.0183333333333335,-4.729166666666666,-4.397666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.5,1643.0,100.0,0.0,100.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,,,-1498.6,-1457.5,-1398.0,-1297.25,-1284.2,,,,,,,,,,,,,,,,1398.0,1498.6,100.0,,100.0,0.0,0.0,0.0,nm_inferred,8.0,100.0,,Egilsstaðir Airport,65.2833023071289,-14.401399612426758
BIGJ,1.0,1.0,100.0,0.0,0.0,600.0,600.0,1026.0,1026.0,1026.0,1026.0,1026.0,-1.71,-1.71,-1.71,-1.71,-1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,1026.0,100.0,0.0,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,-1135.0,-1135.0,-1135.0,-1135.0,-1135.0,,,,,,,,,,,,,,,,1135.0,1135.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Gjögur Airport,65.9953,-21.3269
BIGR,1.0,0.0,0.0,0.0,0.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,1.0,0.0,,Grímsey Airport,66.5458,-18.0173
BIHN,2.0,2.0,100.0,0.0,0.0,300.0,300.0,1025.9,1057.25,1109.5,1161.75,1193.1,-3.9770000000000003,-3.8725,-3.6983333333333333,-3.524166666666667,-3.4196666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.5,1193.1,100.0,0.0,100.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,,,-1788.9,-1703.25,-1560.5,-1417.75,-1332.1,,,,,,,,,,,,,,,,1560.5,1788.9,100.0,,100.0,0.0,0.0,0.0,nm_inferred,2.0,100.0,,Hornafjörður Airport,64.295601,-15.2272
BIIS,6.0,6.0,100.0,0.0,0.0,600.0,600.0,826.5,855.0,915.0,1008.75,1055.0,-1.7583333333333333,-1.6812500000000001,-1.525,-1.4249999999999998,-1.3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0,1055.0,100.0,0.0,100.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,,,-1043.0,-1003.5,-952.0,-907.25,-891.5,,,,,,,,,,,,,,,,952.0,1043.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,6.0,100.0,,Ísafjörður Airport,66.058098,-23.1353
BIKF,254.0,253.0,99.60629921259843,0.0,99.60629921259843,660.0,540.0,-185.99999999999994,25.0,4995.0,5210.0,5447.0,-9.833923454841484,-8.31953642384106,-6.226190476190476,-0.022675736961451247,0.28632395312059994,0.0,0.0,0.11764705882352941,0.23809523809523808,0.4525252525252526,0.0,0.0,0.05736137667304016,0.12476007677543186,0.25699439213870456,4995.0,5447.0,77.07509881422925,0.0,35.43307086614173,64.1732283464567,0.0,258.0,258.0,100.0,0.0,100.0,360.0,193.0,-5411.5,-5185.0,-4962.5,8.75,216.50000000000006,-22.142916666666665,-16.775,-12.034632034632034,0.019116620111731843,0.7291666666666666,0.0,0.05555555555555555,0.20416666666666666,0.5,0.6666666666666666,0.0,0.00954861111111111,0.07653111028679643,0.18055555555555555,0.3125,4962.5,5411.5,72.86821705426357,0.0,36.04651162790697,63.95348837209303,0.0,100.0,apdf,258.0,99.80314960629921,0.06681445953606018,Keflavik International Airport,63.985001,-22.6056
BIRK,38.0,38.0,100.0,0.0,0.0,300.0,167.5,-231.5,-200.0,-122.5,0.0,21.50000000000002,-0.07166666666666666,0.0,0.4083333333333333,0.6666666666666666,0.7716666666666667,0.0,0.1,0.45,0.7,0.8,0.0,0.03333333333333333,0.375,0.55,0.655,137.5,471.5000000000032,28.94736842105263,0.0,94.73684210526316,5.2631578947368425,0.0,37.0,37.0,100.0,0.0,0.0,,,-157.99999999999997,-30.0,100.0,150.0,202.0,,,,,,,,,,,,,,,,115.0,313.99999999999994,40.54054054054054,,91.89189189189189,8.108108108108109,0.0,0.0,nm_inferred,38.0,100.0,,Reykjavík Domestic Airport,64.128732,-21.93759
BITN,2.0,0.0,0.0,0.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,2.0,0.0,,Þórshöfn Airport,66.218459,-15.334739
