icao,name,lat,lon
BIBD,Bildudalur Airport,65.641296,-23.5462
BIOF,Ólafsfjörður Airport,66.083298,-18.6667
CZ-0089,Lomnice nad Popelkou Airfield,50.54,15.388056
CZ-0181,Manětín Airstrip,49.982799,13.227839
DE-0001,Klinikum am Plattenwald Helipad,49.2128560011,9.236728549
DE-0304,Hayingen Glider Field,48.2848,9.4657
DE-0380,Eimbeckhausen Airfield,52.225832,9.425161
DE-0572,Sankt Elisabeth Hospital Heliport,47.78801,9.62105
DE-0813,Sulingen Auxiliary Helicopter Base,52.651472,8.886417
DE-0840,Fossiliengrube Heliport,49.90611,11.46417
EHHW,Buitengaats / BG-OHVS2 Helipad,54.0369,6.041833
EHQS,Hollandse Kust Zuid Alpha Heliport,52.31944,4.04305
EKRA,Rårup Airfield,55.777572,9.94154
ENXD,Ekofisk D Platform,56.5625,3.08417010307312
EPIR,Inowroclaw Military Air Base,52.829399,18.330601
ES-0082,Aeródromo La Loma,39.4886667,-0.9022167
ESNA,Hallviken Airfield,63.7383,15.4583
ESNR,Orsa Airfield,61.189999,14.7126
ESSX,Johannisberg Airfield,59.575802,16.503201
ESUV,Älvsbyn Airfield,65.645699,21.0611
FR-0237,Malacussy Heliport,45.42416763305664,4.371388912200928
FR-0325,Aire-sur-la-Lys Airfield,50.622813,2.414846
FR-0670,Bort-l'Étang Airfield,45.7937,3.435736
FR-0852,La Bertaucourt Airfield,49.073333,5.751667
FR-1021,Ratières Les Allandaines Airfield,45.166111,4.979167
FR-1070,Le Fort d'Aslonnes Airfield,46.438056,0.341667
FR-1194,Orry DZ,49.129267,2.522103
GB-0337,Calcot Airfield,51.794453,-1.835485
GB-0447,Manton Airfield,51.4237,-1.77079
GB-0573,RAF Skaebrae Air Base,59.063901,-3.269179
GB-0884,Tiffenden Airstrip,51.094475,0.740868
GB-0917,Lamberhurst Airstrip,51.109145,0.418918
GB-1078,South Barnbeth Farm Airstrip,55.84734,-4.615176
GG-0003,Brecqhou Residences Helipad,49.43365,-2.38607
HU-0043,Mórahalom Airstrip,46.251378,19.949197
HU-0069,Markusovszky Hospital Heliport,47.2384,16.61823
IQ-0043,Salman Pak East Air Field,33.16069030761719,44.77409362792969
IQ-0045,Samarra East Air Base / Dhuluiya Airport,34.16554,44.264304
IT-0024,Campo di Volo Pachino Fly Dream,36.726571,15.033717
IT-0027,Ali Calabria Airfield,38.619653,15.955976
IT-0142,Il Pioniero Airfield,45.083975,11.663224
IT-0246,AliVara Airfield,44.227697,9.720077
IT-0747,Cattinara Hospital Heliport,45.632895,13.830104
IT-0958,Elisuperficie Pratiglione,45.354155,7.595136
LEIB,Ibiza Airport,38.872898,1.37312
LEJC,Hotel Rey Juan Carlos I Heliport,41.38249969482422,2.1091699600219727
LETC,Matilla De Los Caños Airfield,41.530602,-4.925
LFQS,Vitry-en-Artois Airfield,50.337883,2.990714
LFSX,Luxeuil-Saint-Sauveur (BA 116) Air Base,47.787747,6.353419
LIDI,Cortina d'Ampezzo Sant'Anna Heliport,46.574099,12.115463
LJCL,Celje Airfield,46.245602,15.2231
LOGP,Pinkafeld Airfield,47.386684,16.112673
LOWK,Klagenfurt Airport,46.642502,14.3377
LYBE,Belgrade Nikola Tesla Airport,44.818401,20.309099
RU-0161,Tikhvin Airfield,59.650002,33.595001
RU-0223,Malino Heliport,55.085,38.145
RU-0249,Novaya Heliport,55.8093,38.0454
RU-0919,Usad'ba Mansurovo Helicopter Base,51.774107,37.430463
RU-10080,Afipsky Heliport,44.873,38.829
SK-0005,Kamenný Most Airfield,47.863889,18.65
SK-0047,Hertník Airstrip,49.210967,21.264231
TR-0040,Manavgat Firefighting Airport,36.736315,31.508438
TR-0059,Derince Provincial Hospital Helipad,40.76099,29.81412
UG26,Kutaisi West Airport,42.2486,42.624699
UKFV,Yevpatoriya Airport,45.225462,33.375212
AT-0007,Ybbsitz ÖAMTC Heliport,47.969106,14.939405
AT-0025,Flugplatz Usting,48.31459,13.71796
AT-0033,Carinthia State Police Directorate Heliport,46.620018,14.307845
