rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon,measured
1,EBBR,843.0,843.0,100.0,0.0,100.0,660.0,5.0,-1195.0,-920.0,-715.0,-570.0,-310.99999999999966,0.534074074074074,0.9654820261437909,1.0416666666666667,1.1694444444444445,1.5637566137566141,0.9444444444444444,1.0,1.0,1.0,1.0,0.9237373737373737,0.9704131652661064,1.0,1.0,1.0,770.0,1758.0000000000007,8.303677342823251,83.7485172004745,88.61209964412811,10.913404507710558,0.4744958481613286,802.0,799.0,99.62593516209476,0.0,99.75062344139651,300.0,5.0,485.0,580.0,670.0,770.0,956.0000000000002,1.4462121212121213,1.7756696428571428,2.0416666666666665,2.4583333333333335,3.0555555555555554,1.0,1.0,1.0,1.0,1.0,0.9919191919191919,1.0,1.0,1.0,1.0,690.0,1260.0000000000023,5.506883604505632,99.24812030075188,88.02992518703242,11.221945137157107,0.3740648379052369,100.0,apdf,843.0,99.81296758104739,0.9981296758104738,Brussels Airport,50.901402,4.48444,yes
2,LSZH,1187.0,1185.0,99.83150800336983,0.0,99.07329401853411,717.0,5.0,-2903.6,-1102.0,-791.0,-614.0,-272.5999999999988,0.4751313919012229,0.9662698412698413,1.0354938271604939,1.533532041728763,3.7842038216560563,0.9375,1.0,1.0,1.0,1.0,0.9214124800569704,0.9722222222222222,0.995575221238938,1.0,1.002681425231139,846.0,3010.0000000000045,9.113924050632912,86.07594936708861,85.00421229991575,13.732097725358045,1.0951979780960404,1178.0,1176.0,99.830220713073,0.0,99.9151103565365,315.0,5.0,208.5,522.75,603.0,712.25,969.0,0.7634746656023251,1.6139569346156173,1.9233226837060702,2.2999854969996916,2.8605538588243378,1.0,1.0,1.0,1.0,1.0,0.9879032258064516,0.9936402976623797,1.0,1.0037174721189592,1.0087719298245614,643.0,1406.0,9.77891156462585,99.14893617021276,84.63497453310696,14.091680814940577,1.1035653650254669,99.9151103565365,apdf,1187.0,99.83086435822142,0.9960999961406606,Zürich Airport,47.458056,8.548056,yes
3,EICK,122.0,122.0,100.0,0.0,100.0,540.0,5.0,-754.5,-657.5,-550.0,-455.0,-251.9999999999999,0.9025925925925926,0.982905982905983,1.0555555555555556,1.1791666666666667,1.3665178571428573,0.9301587301587302,1.0,1.0,1.0,1.0,0.8866666666666667,0.9698322510822511,1.0,1.0,1.0,562.5,936.0000000000002,4.918032786885246,82.78688524590164,87.70491803278688,8.19672131147541,4.098360655737705,120.0,119.0,99.16666666666667,0.0,100.0,240.0,5.0,465.0,510.0,590.0,660.0,2058.0,1.9666666666666668,2.325,2.8055555555555554,4.0,8.575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,595.0,2149.0000000000005,3.361344537815126,99.15966386554622,84.16666666666667,11.666666666666666,3.3333333333333335,100.0,apdf,122.0,99.58333333333334,0.9958333333333335,Cork International Airport,51.841301,-8.49111,yes
4,EFHK,631.0,625.0,99.04912836767036,0.0,100.0,480.0,5.0,-750.0,-595.0,-435.0,-275.0,4143.000000000002,-6.1197479505689465,0.8776595744680851,1.0042735042735043,1.0740291262135921,1.1947589098532494,0.7107142857142857,0.9333333333333333,1.0,1.0,1.0,0.6760366998988585,0.9252669039145907,0.9883720930232558,0.9957627118644067,1.0,495.0,4604.000000000002,11.84,69.44,77.17908082408874,20.126782884310618,1.7432646592709984,622.0,617.0,99.19614147909968,0.0,100.0,232.0,5.0,271.0000000000001,455.0,530.0,640.0,836.9999999999999,1.1127431254191817,1.6624040920716112,2.1561338289962824,2.8980891719745223,4.254551820728291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0062893081761006,1.0130718954248366,1.0201035638135851,560.0,2273.999999999998,8.427876823338735,98.86547811993518,78.93890675241157,18.488745980707396,1.7684887459807075,100.0,apdf,631.0,99.12263492338502,0.9885804693342571,Helsinki Vantaa Airport,60.318363,24.963341,yes
5,LEIB,516.0,510.0,98.83720930232558,0.0,99.6124031007752,498.0,5.0,-1526.4999999999998,-905.5,-697.5,-544.5,-337.0,0.8821447380649958,1.0245359083665881,1.349462365591398,1.8721934045005764,3.418751784462845,0.9126482213438735,1.0,1.0,1.0,1.0,0.8919097999174469,0.9895833333333333,1.0023939690890025,1.0058737151248165,1.0097881657570593,705.5,1681.2000000000016,2.7450980392156863,84.50980392156863,91.27906976744185,6.395348837209302,1.1627906976744187,515.0,511.0,99.22330097087378,0.0,99.80582524271846,184.5,5.0,453.0,498.0,549.0,603.5,815.0,1.9332749798007003,2.3457941354458933,2.8421052631578947,3.990847734942223,8.84370922646785,0.875,1.0,1.0,1.0,1.0,0.9689922480620154,0.9805094286518437,0.9876543209876544,0.9945865264658705,1.0,551.0,891.0,0.9784735812133072,96.27450980392157,91.6504854368932,6.601941747572815,0.970873786407767,99.80582524271846,apdf,516.0,99.03025513659968,0.9853749495022261,Ibiza Airport,38.872898,1.37312,yes
6,EDDS,373.0,368.0,98.65951742627345,0.0,100.0,700.0,10.0,-1556.3999999999999,-925.0,-718.5,-530.5,414.5000000000004,-0.5787493442830526,0.8902636644116732,0.9869175351232953,1.3937958610410457,2.383792938169037,0.8947368421052632,0.9411764705882353,1.0,1.0,1.0,0.872387544351222,0.9271375415164378,0.9947643979057592,1.0020988110446871,1.0049110272962454,745.0,1835.2000000000003,12.5,68.75,84.71849865951742,12.868632707774799,1.0723860589812333,383.0,378.0,98.69451697127937,0.0,100.0,317.0,5.0,-705.6999999999999,491.0,597.5,721.0,852.9000000000001,-1.7961076739523498,1.5871973647281268,1.8745383013675698,2.397285067873303,3.2370909090909104,1.0,1.0,1.0,1.0,1.0,0.9859154929577465,0.9933774834437087,1.0,1.0041626654777418,1.008166169693684,647.0,1073.8000000000002,13.756613756613756,98.94179894179894,81.20104438642298,16.449086161879894,1.0443864229765014,100.0,apdf,383.0,98.67701719877641,0.9841870039982673,Stuttgart Airport,48.689899,9.22196,yes
7,LFLL,373.0,373.0,100.0,0.0,98.65951742627345,540.0,25.0,-824.0,-660.0,-540.0,-445.0,-300.99999999999994,0.5016666666666667,0.8809523809523809,0.9583333333333334,1.0595238095238095,1.6666666666666667,0.5600000000000002,0.9090909090909091,1.0,1.0,1.0,0.5450000000000002,0.8796296296296297,0.9523809523809523,1.0,1.0,545.0,849.0,1.3404825737265416,51.206434316353885,96.51474530831099,2.9490616621983916,0.5361930294906166,372.0,372.0,100.0,0.0,100.0,300.0,5.0,530.0,585.0,655.0,720.0,840.0,1.6489583333333333,1.8869047619047619,2.1166666666666667,2.3833333333333333,2.998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,660.0,875.0,1.3440860215053763,99.46236559139786,92.74193548387096,6.451612903225806,0.8064516129032258,100.0,apdf,373.0,100.0,0.9761904761904762,Lyon Saint-Exupéry Airport,45.725996,5.090139,yes
8,LHBP,607.0,605.0,99.67051070840198,0.0,99.67051070840198,655.0,30.0,-1092.0,-765.0,-630.0,-535.0,-363.9999999999998,0.7359290880417642,0.8928571428571429,0.9585492227979274,1.0729312762973353,1.704886685552408,0.85,0.9090909090909091,0.9583333333333334,1.0,1.0,0.8242644724447151,0.8935611038107754,0.9527687296416938,0.9939759036144579,0.9982453208556149,650.0,1499.0000000000014,5.454545454545454,50.90909090909091,83.36079077429983,14.168039538714991,2.1416803953871497,613.0,610.0,99.51060358890702,0.0,99.836867862969,254.5,5.0,355.0,480.0,540.0,645.0,871.5000000000003,1.293354726567723,1.8,2.1405750798722045,2.5336322869955157,3.169645262685227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0049627791563276,1.010928961748634,1.015247875216368,565.0,2170.0,7.049180327868853,98.52216748768473,82.54486133768353,14.845024469820554,2.1207177814029365,99.836867862969,apdf,613.0,99.5905571486545,0.9748578585433547,Budapest Liszt Ferenc International Airport,47.43018,19.262393,yes
9,LFPO,966.0,964.0,99.79296066252589,1.0,100.0,660.0,35.0,-1125.0,-830.0,-670.0,-550.0,-440.0,0.7305555555555555,0.9027777777777778,0.9537037037037037,1.0623543123543122,1.3847222222222224,0.8333333333333334,0.9166666666666666,0.9642857142857143,1.0,1.0,0.816017316017316,0.9027777777777778,0.95,1.0,1.0,685.0,1375.5000000000007,4.771784232365145,50.571131879543096,94.92753623188406,4.658385093167702,0.2070393374741201,969.0,963.0,99.38080495356037,0.0,100.0,300.0,5.0,520.0,575.0,650.0,737.5,894.0000000000003,1.5567251461988305,1.8591269841269842,2.1666666666666665,2.5083333333333333,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,650.0,930.0,1.0384215991692627,98.85773624091381,95.76883384932921,3.4055727554179565,0.20639834881320948,100.0,apdf,969.0,99.58688280804313,0.9709721073784205,Paris-Orly Airport,48.729499,2.358963,yes
10,LPFR,398.0,398.0,100.0,0.0,99.74874371859298,576.0,40.0,-853.0,-660.0,-517.5,-260.0,-121.99999999999989,0.22708333333333333,0.47684369202226345,0.9545454545454546,1.0267837708414957,1.254026369168358,0.2833333333333333,0.5,0.9486842105263158,1.0,1.0,0.2588469669865019,0.47556818181818183,0.9372539370078741,0.991081742670114,1.0,525.0,911.5,3.5175879396984926,46.733668341708544,94.22110552763819,4.773869346733668,1.0050251256281406,397.0,397.0,100.0,0.0,100.0,300.0,5.0,435.0,510.0,565.0,610.0,690.0,1.3472222222222223,1.5833333333333333,1.900958466453674,2.1645021645021645,2.536373276776246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0043668122270744,1.0119047619047619,565.0,710.0,1.2594458438287153,98.48866498740554,91.183879093199,7.8085642317380355,1.0075566750629723,100.0,apdf,398.0,100.0,0.968626968503937,Faro - Gago Coutinho International Airport,37.015909,-7.970939,yes
