rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
1,EGGW,590.0,590.0,100.0,0.0,4.067796610169491,840.0,570.0,20.0,30.0,50.0,70.0,735.5000000000001,-1.362037037037037,-0.4280753968253968,-0.115625,-0.05713848039215686,-0.03375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,735.5000000000001,100.0,0.0,72.71186440677967,26.271186440677965,1.0169491525423728,581.0,581.0,100.0,0.0,4.819277108433735,300.0,5.0,-800.0,238.0,281.0,296.0,309.0,-2.7941666666666665,0.5823412698412698,0.9486111111111111,1.1666666666666667,1.41875,0.85,1.0,1.0,1.0,1.0,0.8152777777777778,0.9444444444444444,1.0,1.0,1.0,293.0,800.0,19.27710843373494,71.42857142857143,73.66609294320138,25.645438898450948,0.6884681583476764,4.819277108433735,nm_inferred,590.0,100.0,0.5,London Luton Airport,51.874699,-0.368333
2,EGPF,332.0,332.0,100.0,0.0,0.0,600.0,,-915.0,-691.25,-537.5,-390.0,-65.49999999999812,,,,,,,,,,,,,,,,577.5,2160.0000000000036,9.337349397590362,,80.42168674698796,18.072289156626507,1.5060240963855422,319.0,319.0,100.0,0.0,0.0,,,301.8,453.0,526.0,641.0,1353.599999999999,,,,,,,,,,,,,,,,549.0,2302.5999999999995,7.210031347962382,,80.25078369905957,17.86833855799373,1.8808777429467085,0.0,nm_inferred,332.0,100.0,,Glasgow Airport,55.871899,-4.43306
3,LBSF,295.0,295.0,100.0,0.0,0.0,960.0,,-243.99999999999997,-37.5,20.0,45.0,65.0,,,,,,,,,,,,,,,,45.0,314.00000000000034,72.54237288135593,,91.1864406779661,8.813559322033898,0.0,301.0,301.0,100.0,0.0,0.0,,,240.0,298.0,455.0,547.0,627.0,,,,,,,,,,,,,,,,468.0,637.0,2.990033222591362,,89.70099667774086,10.299003322259136,0.0,0.0,nm_inferred,301.0,100.0,,Sofia Airport,42.696357,23.417671
4,LFRS,262.0,262.0,100.0,0.0,0.0,600.0,,15.0,25.0,45.0,60.0,79.50000000000003,,,,,,,,,,,,,,,,45.0,79.50000000000003,98.85496183206106,,96.56488549618321,3.053435114503817,0.3816793893129771,258.0,258.0,100.0,0.0,0.0,,,215.7,239.25,263.5,284.0,296.3,,,,,,,,,,,,,,,,264.0,297.0,1.937984496124031,,96.12403100775194,3.10077519379845,0.7751937984496124,0.0,nm_inferred,262.0,100.0,,Nantes Atlantique Airport,47.153198,-1.61073
5,LGKR,251.0,251.0,100.0,0.0,0.0,900.0,,85.0,267.5,450.0,540.0,730.0,,,,,,,,,,,,,,,,450.0,730.0,99.60159362549801,,84.4621513944223,15.53784860557769,0.0,255.0,255.0,100.0,0.0,0.0,,,-847.2,-664.0,-328.0,100.0,186.2,,,,,,,,,,,,,,,,415.0,847.2,65.49019607843137,,82.74509803921569,17.254901960784313,0.0,0.0,nm_inferred,255.0,100.0,,Corfu Ioannis Kapodistrias International Airport,39.60145,19.912179
6,EDDP,233.0,233.0,100.0,0.0,2.1459227467811157,900.0,20.0,-1004.0,-840.0,-705.0,-595.0,-290.99999999999994,0.5933333333333333,0.8583333333333333,0.9629629629629629,1.0,1.3771428571428572,0.6100000000000001,0.9,1.0,1.0,1.0,0.5933333333333333,0.8583333333333333,0.9629629629629629,0.9928571428571429,0.9971428571428571,725.0,1395.000000000001,6.008583690987124,60.0,79.39914163090128,20.600858369098713,0.0,218.0,218.0,100.0,0.0,1.834862385321101,330.0,5.0,394.90000000000003,576.0,666.0,765.0,967.3000000000002,1.8583333333333334,2.056547619047619,2.270833333333333,2.9125,3.880000000000001,1.0,1.0,1.0,1.0,1.0,0.9941666666666666,0.9979166666666667,1.0,1.0,1.0,684.5,1471.5000000000007,7.339449541284404,100.0,78.89908256880734,21.10091743119266,0.0,2.1459227467811157,nm_inferred,233.0,100.0,0.9814814814814814,Leipzig/Halle Airport,51.420657,12.232705
7,EGAA,221.0,221.0,100.0,0.0,0.0,720.0,,15.0,25.0,40.0,60.0,70.0,,,,,,,,,,,,,,,,40.0,70.0,99.09502262443439,,89.14027149321267,10.407239819004525,0.45248868778280543,223.0,223.0,100.0,0.0,0.0,,,175.0,245.5,265.0,280.0,295.0,,,,,,,,,,,,,,,,266.0,300.0,3.587443946188341,,89.23766816143498,9.865470852017937,0.8968609865470852,0.0,nm_inferred,223.0,100.0,,Belfast International Airport,54.6575012207,-6.21582984924
8,LIEE,223.0,223.0,100.0,0.0,0.0,600.0,,60.0,85.0,280.0,415.0,493.0000000000001,,,,,,,,,,,,,,,,280.0,493.0000000000001,100.0,,96.8609865470852,3.1390134529147984,0.0,223.0,223.0,100.0,0.0,0.0,,,-485.0,-312.5,-100.0,237.5,295.0,,,,,,,,,,,,,,,,260.0,485.0,55.15695067264574,,98.20627802690584,1.7937219730941705,0.0,0.0,nm_inferred,223.0,100.0,,Cagliari Elmas Airport,39.251499,9.05428
9,EPWR,211.0,211.0,100.0,0.0,0.0,900.0,,-1122.0,-865.0,-685.0,-498.0,95.0,,,,,,,,,,,,,,,,745.0,1925.0,10.90047393364929,,85.78199052132702,12.796208530805687,1.4218009478672986,209.0,209.0,100.0,0.0,0.0,,,355.0,460.0,535.0,655.0,1908.0000000000007,,,,,,,,,,,,,,,,560.0,2105.0000000000005,6.220095693779904,,86.60287081339713,11.961722488038278,1.4354066985645932,0.0,nm_inferred,211.0,100.0,,Copernicus Wrocław Airport,51.103719,16.882096
10,DAAG,206.0,206.0,100.0,0.0,0.0,600.0,,547.5,643.5,775.0,952.0,2981.5,,,,,,,,,,,,,,,,775.0,2981.5,100.0,,94.1747572815534,5.825242718446602,0.0,203.0,203.0,100.0,0.0,0.0,,,-3155.7999999999997,-1192.5,-702.0,-426.5,122.80000000000013,,,,,,,,,,,,,,,,702.0,3155.8,86.69950738916256,,91.6256157635468,8.374384236453203,0.0,0.0,nm_inferred,206.0,100.0,,Houari Boumediene Airport,36.693886,3.214531
